Title,Release Date,Description,Release Year
ChoroQ,2003-11-27,"Known in Japan as ""Choro Q HG 4"", ChoroQ is the fourth in the ""High Grade"" sub-series and the only entry to be released worldwide with the Choro Q name.",2003
Seek and Destroy,2002-06-27,"Known in Japan as ""Shin Combat Choro Q"", Seek and Destroy is a tank combat game in which the world of ""Quewar"" is populated not by people, but by tanks.",2002
Road Trip,2002-01-10,"Known in Japan as ""Choro Q HG 2"" and in Europe as ""Road Trip Adventure"", Road Trip combines the series' traditional racing and customization of miniature cars with a new open-world experience and numerous game modes.",2002
Gadget Racers,2000-12-21,"Known in Japan as ""Choro Q HG"" and in Europe as ""Penny Racers"", Gadget Racers is the series' first PlayStation 2 entry.",2000
Speed Challenge: Jacques Villeneuve's Racing Vision,2002-10-03,,2002
International Superstar Soccer 3,2002-07-25,The final game released under the ISS branding.,2002
Medal of Honor: Frontline,2002-05-28,"Frontline follows the European Theater, starting with the Normandy Beach landings.",2002
Yo-Jin-Bo: The Bodyguards,2005-07-29,A  visual novel otome game set in feudal Japan.,2005
TNA iMPACT!,2008-09-09,Enter the six-sided ring and wrestle in Midway's first wrestling game from the Orlando-based TNA wrestling promotion.,2008
Simple 2000 Series Vol. 70: The Kanshikikan,2005-02-17,"The first installment of what would later become a sub-series of its own, Simple 2000 Series Vol. 70: The Kanshikikan is an adventure title where players take on the role of a forensic investigator.",2005
Tantei Jinguuji Saburo: Kind of Blue,2004-04-22,The direct sequel to Innocent Black where Junguuji returns to work after a long dry period in order to investigate a certain person for the Kanto mafia.,2004
Tantei Jinguuji Saburo: Innocent Black,2002-10-04,The first Tantei Jinguuji Saburo title to be developed by WorkJam where Jinguuji is asked to search for the missing daughter of a hospital director that helped him in the past.,2002
Simple 2000 Series Vol. 43: The Saiban - Shinmai Shihoukan Momota Tsukasa no 10 no Saiban File,2003-12-11,An adventure game about a rookie female lawyer solving 10 different cases.,2003
Simple 2000 Series Vol.067: The Suiri - Soshite Daremo Inakunatta,2004-11-11,The third entry in the Suiri detective adventure game series within D3's Simple franchise.,2004
World Destruction League: Thunder Tanks,2000-09-09,"A spin-off of the BattleTanx series, bringing its fast-paced tank combat to a new post-apocalyptic motorsport.",2000
Chobits: Chii Dake no Hito,2003-05-15,Playstation 2 game based on the manga and anime series Chobits.,2003
Knight Rider 2: The Game,2006-11-08,,2006
Earache: Extreme Metal Racing,2006-10-27,Use ten different vehicles to race and battle through different courses while listening to the games Death Metal soundtrack.,2006
Galaxy Angel,2002-08-23,"A dating simulation / strategy game for the PS2 and PCs. There are additional games, an anime and manga and they all follow the Angel Troupe in their adventures.",2002
Okage: Shadow King,2001-10-01,Okage: Shadow King is an offbeat Japanese RPG visually inspired by the works of Henry Selick. It follows a boy and the evil king that lives in his shadow as they attempt to take over the world.,2001
Constantine,2005-02-14,"Follow John Constantine as he fights to save humanity, save the earth and save his own soul.",2005
Lumines Plus,2007-02-27,Lumines Plus is the home console port of Lumines: Puzzle Fusion and Lumines II. This release brings puzzles from both games into one package.,2007
"Ys V: Lost Kefin, Kingdom of Sand",2006-03-30,"3D re-imagining of Falcom's Ys V by Taito, exclusively available for the PS2.",2006
Sonic Unleashed,2008-11-14,"Sonic Unleashed is two different Sonic titles released in 2008 across four consoles. Both titles feature high-speed Sonic stages, slower-paced ""Werehog"" levels, and town hubs where players must progress through the story.",2008
Madagascar: Escape 2 Africa,2008-11-04,"Return as Alex, Marty, Melman and Gloria as they crash and they make themselves at home in Africa in Madagascar: Escape 2 Africa",2008
Up,2009-05-26,THQ's youth-oriented adaptation of the Disney/Pixar film of the same name.,2009
Shining Wind,2007-05-17,Shining Wind is the 18th game in the Shining series from SEGA.,2007
ADK Damashii,2008-12-18,ADK Tamashii is a compilation of five ADK games.,2008
Dora the Explorer: Dora Saves the Snow Princess,2008-10-27,Platformer featuring Dora the explorer.,2008
Dora the Explorer: Dora Saves the Mermaids,2007-11-05,"Dora the Explorer ventures over land and sea to help save the mermaid kingdom from a mean, garbage-dumping octopus.  Meet tons of Dora's pals along the way and platform your way through this kid-friendly adventure.",2007
Medal of Honor: Rising Sun,2003-11-11,Medal of Honor Rising Sun moves away from Europe and into Asia where the enemy changes from the Nazis to the Japanese.,2003
Galerians: Ash,2003-02-03,Galerians: Ash is the sequel to Galerians that is an horror-survival game.,2003
Kenran Butou Sai: The Mars Daybreak,2005-07-07,An Alfa System and Sony Computer Entertainment PlayStation 2 exclusive simulation game.,2005
Destroy All Humans!,2005-06-21,An open-world game spoofing 1950s sci-fi films. The player is an alien named Crypto who comes to Earth with the express purpose of wiping out the human race.,2005
Bully,2006-10-17,"Rockstar swaps gangsters for delinquents in their open-world formula, giving players control of a new student at a rough-and-tumble private school.",2006
Fantastic Four: Rise of the Silver Surfer,2007-06-15,"Fantastic Four: Rise of the Silver Surfer follows a closer look into the movie, including chases with the Silver Surfer and fights with Dr. Doom. It also contains extra missions including finding scientists to save the world. It allows four player to each control a member of the Fantastic Four.",2007
Tear Ring Saga: Berwick Saga,2005-05-26,The second and last entry in the Tear Ring Saga strategy RPG franchise.,2005
Hanjuku Eiyuu 4,2005-05-26,The 4th installment of the Hanjuku Eiyuu series.,2005
Hanjuku Eiyuu Tai 3D,2003-06-26,The 3rd installment of the Hanjuku Eiyuu series.,2003
SEGA AGES 2500 Vol.6: Puzzle & Action + Bonanza Bros.,2003-11-15,A remastering of two Sega classics starring Mobo & Robo.,2003
Tokimeki Memorial Girl's Side,2002-06-20,The first game in the series of otome dating sims that brought many new fans to the genre.,2002
LEGO Indiana Jones: The Original Adventures,2008-06-03,"Take control of Indiana Jones and play through the first three original films, Lego style!",2008
Toy Story 3: The Video Game,2010-06-15,"Players take control of Buzz, Woody, and Jessie as they explore the world of Toy Story and much more.",2010
Savage Skies,2002-03-28,,2002
Cue Club,2003-03-01,A pool/snooker game.,2003
LEGO Star Wars: The Video Game,2005-03-25,"A family-friendly video game adaptation of the Star Wars prequel trilogy, styled in the LEGO Star Wars line of toys.",2005
Sakura Taisen 3: Pari wa Moete iru ka?,2001-03-22,"The third entry in the venerable series ventures to a new city, a new console, and a new dimension.",2001
Hardware: Online Arena,2003-11-07,A multiplayer vehicular-combat game for the PS2. It was featured as a free pack-in game with the Playstation 2 network adapter.,2003
Tokyo Xtreme Racer 3,2003-07-24,Tokyo Xtreme Racer 3 is the fourth installment of this Japan-based street racing series.,2003
Aggressive Inline,2002-05-28,"Aggressive Inline takes the gameplay of the Tony Hawk series and applies it to inline skating, adding in an innovative skill progression system for good measure.",2002
"SpongeBob SquarePants: Lights, Camera, Pants!",2005-10-19,SpongeBob and friends compete for the role of the villain in the new Mermaid Man and Barnacle Boy movie.,2005
The King of Fighters 2000,2000-07-26,"The seventh installment of SNK's King of Fighters series and the last game they developed before their bankruptcy. It features an expansion of the ""Striker"" system, including numerous Striker-only characters for additional options.",2000
The King of Fighters '99,1999-07-22,"The King of Fighters '99 is the sixth installment of the King of Fighters series, introducing new gameplay mechanics such as the ""Striker"" system. It also introduces a new protagonist, K', as well as a new, darker story arc involving the mysterious cartel called NESTS.",1999
Hyper Street Fighter II: The Anniversary Edition,2003-12-22,Mix-and-match your favorite versions of the Street Fighter II cast to create new dream matches in this special 15th anniversary edition of the arcade classic.,2003
Tony Hawk's Project 8,2006-11-07,Tony Hawk's Project 8 was the first game in the Tony Hawk series built from the ground up for 7th generation of consoles. The game introduced the Nail-The-Trick mechanic and added graphical details like Bloom HDR lighting and ragdoll physics.,2006
Fatal Frame,2001-12-13,"Although not actually based on a true story, as the misleading packaging claims, Fatal Frame is still a beloved horror game in which a camera is the player's only weapon against malevolent spirits.",2001
The King of Fighters '97,1997-07-28,"The fourth installment in SNK's tag-team fighting game series, bringing the ""Orochi Saga"" to its climax. It's known for introducing the short-lived ""Command Mode"" system, allowing players to choose from two distinct playstyles.",1997
The King of Fighters '95,1995-07-25,"The second installment in SNK's tag-team fighting game series, introducing the ability for players to customize their own three-fighter team from the overall roster.",1995
The King of Fighters '96,1996-07-30,"The third installment in SNK's tag-team fighting game series, further revamping the gameplay while completely redrawing all characters in a newer style.",1996
Star Wars: The Clone Wars,2002-10-28,Take control of numerous vehicles from the Star Wars prequel trilogy and aid the Galactic Republic during the Clone Wars era of Star Wars.,2002
RTL Biathlon 2009,2008-11-27,Winter biathlon game,2008
"Sakura Wars: So Long, My Love",2005-07-07,"The fifth game in the Sakura Taisen franchise and the first to receive an official North American localization, courtesy of NIS America.",2005
Curse: The Eye of Isis,2003-10-21,A survival horror game set in the British Museum. You play as either Dr. Darien Dane or his assistant Victoria Sutton on a search to retrieve a cursed Egyptian artifact recently stolen from the museum.,2003
Hisshou Pachinko * Pachi-Slot Kouryoku Series Vol. 3: CR Marilyn Monroe,2006-02-23,The popular sex symbol actress adorns a marine-themed pachi-slot game.,2006
The Backyardigans: Mission to Mars,2003-04-15,"Calling all astronauts! When Tyrone and Tasha receive a strange signal at Mission Control, Commander Uniqua needs you to suit up with her, Science Officer Pablo, and Equipment Specialist Austin for their mission to Mars! Help pilot the shuttle, race through a meteor shower, explore underground Martian caves, collect space gems, and more in an out-of-this-world adventure with The Backyardigans!",2003
Melty Blood: Actress Again,2008-09-19,The third installment of the Melty Blood series.,2008
RTL Ski Alpin 2006,2005-11-24,,2005
Langrisser III,1996-10-18,The third entry in the Langrisser strategy RPG series which drastically changed its battle system from previous entries.,1996
Jaws: Unleashed,2006-05-23,"Just like you always wanted, Jaws Unleashed grants you the opportunity to play as a shark in an open-world game.",2006
Lemmings,2006-03-10,Sony Computer Entertainment Europe and Team 17 are responsible for this PSP installment of Lemmings.,2006
